event_address_id,event_address_lIne_1,event_address_lIne_2,event_city,event_state,event_zip,opportunity_name,date
105,117 Sandusky Street,,Pittsburgh,PA,15212,Youth Open Studio ,2022-04-27
106,117 Sandusky Street,,Pittsburgh,PA,15212,School of Drag ,2022-04-27
107,117 Sandusky Street,,Pittsburgh,PA,15212,Youth Invasion ,2022-04-27
108,117 Sandusky Street,,Pittsburgh,PA,15212,Youth Arts Council ,2022-04-27
109,117 Sandusky Street,,Pittsburgh,PA,15212,Student Assistant Program ,2022-04-27
110,One Allegheny Ave.,,Pittsburgh,PA ,15212,Chain Reaction Contraption Contest,2022-04-27
111,One Allegheny Ave.,,Pittsburgh,PA ,15212,Carnegie STEM Girls,2022-04-27
112,6 allegheny square e,,Pittsburgh,PA,15212,Museum Lab  After School Program,2022-04-27
113,6 allegheny square e,,Pittsburgh,PA,15212,Muesum Lab Workshops,2022-04-27
114,116 South Highland Avenue,,Pittsburgh,PA,15206,Hope Academy of Music and the Arts,2022-04-27
115,286 Semple Street ,,Pittsburgh,PA,15213,School 2 Career (S2C),2022-04-27
116,509 Long Road ,Suite #2,Penn Hills ,PA,15235,The Life Skills Just for Girls Forum,2022-04-27
117,509 Long Road ,Suite #2,Penn Hills ,PA,15235,Ruth’s Way’s Remarkable Readiness and Employment Forum,2022-04-27
118,509 Long Road ,Suite #2,Penn Hills ,PA,15235,The Junior Toastmasters Communication and Leadership Development Forum,2022-04-27
119,509 Long Road ,Suite #2,Penn Hills ,PA,15235,The Smart Money Management Forum,2022-04-27
120,509 Long Road ,Suite #2,Penn Hills ,PA,15235,The Virtuous Young Ladies Summer Scholarship Forum,2022-04-27
121,509 Long Road ,Suite #2,Penn Hills ,PA,15235,The Marvelous Mentoring Program,2022-04-27
122,222 Northpointe Blvd,,Freeport,PA,16229,Sea AIr and Land Challenge,2022-04-27
123,10 40th Street,,Pittsburgh,PA,15201,SMART-ER - CMU Robotics Academy,2022-04-27
124,3300 Preble Avenue,,Pittsburgh,PA,15233,Storm Drain Stenciling Program,2022-04-27
125,5000 Forbes Ave.,Carnegie Mellon University,Pittsburgh,PA,15213,Summer Tech Camps (CMU),2022-04-27
126,1699 Washington Rd.,Suite 200,Pittsburgh,PA,15228,The Citizen Science Lab,2022-04-27
127,One Schenley Park,,Pittsburgh,PA,15213,The Fairchild Challenge at Phipps,2022-04-27
128,130 S. Whitfield Street,,Piitsburgh,PA,15206,The Labs @ CLP,2022-04-27
129,5006 Penn Ave,,Piitsburgh,PA,15224,The Irma Freeman Center for Imagination - Classes,2022-04-27
130,5006 Penn Ave,,Piitsburgh,PA,15224,The Irma Freeman Center for Imagination - Camps,2022-04-27
131,4716 Ellsworth Ave,Apt #823,Piitsburgh,PA,15213,The Queen's Gambit Chess Institutiute's Masters in Residence,2022-04-27
132,500 Sampsonia Way,,Pittsburgh,PA,15212,The Mattress Factory Art Museum - Teen Summer Workshop Series,2022-04-27
133,500 Sampsonia Way,,Pittsburgh,PA,15212,The Mattress Factory Art Museum - Tean Art Cooperative,2022-04-27
134,305 Wood St,,Pittsburgh,PA,15222,TechGYRLS®,2022-04-27
135,305 Wood St,,Pittsburgh,PA,15222,STEM Stars,2022-04-27
136,113 North Pacific Ave.,,Pittsburgh,PA,15224,College and Career Readiness Program (CCRP),2022-04-27
137,1256 Franklin Ave.,,Pittsburgh,PA,15221,Bootup PGH: Middle School Tech Program,2022-04-27
138,1256 Franklin Ave.,"3rd floor, Room 19",Pittsburgh,PA,15221,Bootup PGH: High School Tech Program,2022-04-27
139,1256 Franklin Ave.,,Pittsburgh,PA,15221,Bootup PGH: Teen Mentorship,2022-04-27
140,5850 Centre Ave,,Pittsburgh,PA,15206,Diploma Workforce Program,2022-04-27
141,304 Wood Street,,Pittsburgh,PA,15222,YES - Learn and Earn,2022-04-27
142,200 Lothrop Street,,Pittsburgh,PA,15213,Nursing Assistant/Patient Care Technician - EIC Program,2022-04-27
143,5230 Centre Avenue,,Pittsburgh,PA,15232,EVS Aide EIC,2022-04-27
144,1920 Forbes Avenue,,Pittsburgh,PA,15219,Shuttle Bus Operator Trainee,2022-04-27
145,3550 Terrace Stree,,Pittsburgh,PA,15213,Medical Assistant Trainee,2022-04-27
